Time,DeltaTime,PosX,PosY,PosZ,Pitch,Yaw,Roll,PitchCam,YawCam,RollCam
253.185455,0.060547,-330023.000,35277.000,-178000.000,0.000,0.000,0.000,0.000,0.000,-0.000
253.245621,0.060158,-330023.000,35277.000,-178000.000,0.000,0.000,0.000,0.000,0.000,-0.000
253.306870,0.061254,-330023.000,35277.000,-178000.000,0.000,0.000,0.000,0.000,0.000,-0.000
253.367706,0.060829,-330023.000,35277.000,-178000.000,0.000,0.000,0.000,0.000,0.000,-0.000
253.438065,0.070362,-330023.000,35277.000,-178000.000,0.000,0.000,0.000,0.000,0.000,-0.000
253.498886,0.060826,-330023.000,35277.000,-178000.000,0.000,0.000,0.000,0.000,0.000,-0.000
253.561646,0.062759,-330023.000,35277.000,-178000.000,0.000,0.000,0.000,0.000,0.000,-0.000
253.622314,0.060658,-330023.000,35277.000,-178000.000,0.000,0.000,0.000,0.000,0.000,-0.000
253.683121,0.060809,-330023.000,35277.000,-178000.000,0.000,0.000,0.000,0.000,0.000,-0.000
253.743729,0.060607,-330023.000,35277.000,-178000.000,0.000,0.000,0.000,0.000,0.000,-0.000
253.805588,0.061859,-330023.000,35277.000,-178000.000,0.000,0.000,0.000,0.000,0.000,-0.000
253.866577,0.060991,-330023.000,35277.000,-178000.000,0.000,0.000,0.000,0.000,0.000,-0.000
253.927872,0.061304,-330023.000,35277.000,-178000.000,0.000,0.000,0.000,0.000,0.000,-0.000
253.987671,0.059799,-330023.000,35277.000,-178000.000,0.000,0.000,0.000,0.000,0.000,-0.000
254.049561,0.061889,-330023.000,35277.000,-178000.000,0.000,0.000,0.000,0.000,0.000,-0.000
254.110336,0.060775,-330023.000,35277.000,-178000.000,0.000,0.000,0.000,0.000,0.000,-0.000
254.172043,0.061707,-330023.000,35277.000,-178000.000,0.000,0.000,0.000,0.000,0.000,-0.000
254.233902,0.061850,-330023.000,35277.000,-178000.000,0.000,0.000,0.000,0.000,0.000,-0.000
254.294891,0.060988,-330023.000,35277.000,-178000.000,0.000,0.000,0.000,0.000,0.000,-0.000
254.356735,0.061843,-330023.000,35277.000,-178000.000,0.000,0.000,0.000,0.000,0.000,-0.000
254.422791,0.066065,-330023.000,35277.000,-178000.000,0.000,0.000,0.000,0.000,0.000,-0.000
254.483276,0.060490,-330023.000,35277.000,-178000.000,0.000,0.000,0.000,0.000,0.000,-0.000
254.544479,0.061199,-330023.000,35277.000,-178000.000,0.000,0.000,0.000,0.000,0.000,-0.000
254.605286,0.060805,-330023.000,35277.000,-178000.000,0.000,0.000,0.000,0.000,0.000,-0.000
254.665527,0.060238,-330023.000,35277.000,-178000.000,0.000,0.000,0.000,0.000,0.000,-0.000
254.726440,0.060920,-330023.000,35277.000,-178000.000,0.000,0.000,0.000,0.000,0.000,-0.000
254.787994,0.061557,-330023.000,35277.000,-178000.000,0.000,0.000,0.000,0.000,0.000,-0.000
254.848816,0.060817,-330023.000,35277.000,-178000.000,0.000,0.000,0.000,0.000,0.000,-0.000
254.910721,0.061905,-330023.000,35277.000,-178000.000,0.000,0.000,0.000,0.000,0.000,-0.000
254.972504,0.061776,-330023.000,35277.000,-178000.000,0.000,0.000,0.000,0.000,0.000,-0.000
255.033203,0.060707,-330023.000,35277.000,-178000.000,0.000,0.000,0.000,0.000,0.000,-0.000
255.093826,0.060613,-330023.000,35277.000,-178000.000,0.000,0.000,0.000,0.000,0.000,-0.000
255.154770,0.060958,-330023.000,35277.000,-178000.000,0.000,0.000,0.000,0.000,0.000,-0.000
255.215454,0.060683,-330023.000,35277.000,-178000.000,0.000,0.000,0.000,0.000,0.000,-0.000
255.276947,0.061493,-330023.000,35277.000,-178000.000,0.000,0.000,0.000,0.000,0.000,-0.000
255.339310,0.062359,-330023.000,35277.000,-178000.000,0.000,0.000,0.000,0.000,0.000,-0.000
255.406754,0.067444,-330023.000,35277.000,-178000.000,0.000,0.000,0.000,0.000,0.000,-0.000
255.467361,0.060604,-330023.000,35277.000,-178000.000,0.000,0.000,0.000,0.000,0.000,-0.000
255.529312,0.061956,-330023.000,35277.000,-178000.000,0.000,0.000,0.000,0.000,0.000,-0.000
255.591019,0.061711,-330023.000,35277.000,-178000.000,0.000,0.000,0.000,0.000,0.000,-0.000
255.651871,0.060844,-330023.000,35277.000,-178000.000,0.000,0.000,0.000,0.000,0.000,-0.000
