Time,DeltaTime,PosX,PosY,PosZ,Pitch,Yaw,Roll,PitchCam,YawCam,RollCam
161.136703,0.060501,356523.000,-178343.000,-178000.000,0.000,0.000,0.000,-10.000,30.000,0.000
161.196930,0.060227,356523.000,-178343.000,-178000.000,0.000,0.000,0.000,-10.000,30.000,0.000
161.257095,0.060161,356523.000,-178343.000,-178000.000,0.000,0.000,0.000,-10.000,30.000,0.000
161.317963,0.060874,356523.000,-178343.000,-178000.000,0.000,0.000,0.000,-10.000,30.000,0.000
161.378326,0.060362,356523.000,-178343.000,-178000.000,0.000,0.000,0.000,-10.000,30.000,0.000
161.440491,0.062158,356523.000,-178343.000,-178000.000,0.000,0.000,0.000,-10.000,30.000,0.000
161.500427,0.059941,356523.000,-178343.000,-178000.000,0.000,0.000,0.000,-10.000,30.000,0.000
161.561050,0.060623,356523.000,-178343.000,-178000.000,0.000,0.000,0.000,-10.000,30.000,0.000
161.622513,0.061473,356523.000,-178343.000,-178000.000,0.000,0.000,0.000,-10.000,30.000,0.000
161.682465,0.059942,356523.000,-178343.000,-178000.000,0.000,0.000,0.000,-10.000,30.000,0.000
161.743500,0.061033,356523.000,-178343.000,-178000.000,0.000,0.000,0.000,-10.000,30.000,0.000
161.804153,0.060658,356523.000,-178343.000,-178000.000,0.000,0.000,0.000,-10.000,30.000,0.000
161.865143,0.060985,356523.000,-178343.000,-178000.000,0.000,0.000,0.000,-10.000,30.000,0.000
161.927567,0.062429,356523.000,-178343.000,-178000.000,0.000,0.000,0.000,-10.000,30.000,0.000
161.986832,0.059268,356523.000,-178343.000,-178000.000,0.000,0.000,0.000,-10.000,30.000,0.000
162.048157,0.061329,356523.000,-178343.000,-178000.000,0.000,0.000,0.000,-10.000,30.000,0.000
162.108673,0.060504,356523.000,-178343.000,-178000.000,0.000,0.000,0.000,-10.000,30.000,0.000
162.169159,0.060498,356523.000,-178343.000,-178000.000,0.000,0.000,0.000,-10.000,30.000,0.000
162.231384,0.062215,356523.000,-178343.000,-178000.000,0.000,0.000,0.000,-10.000,30.000,0.000
162.291855,0.060475,356523.000,-178343.000,-178000.000,0.000,0.000,0.000,-10.000,30.000,0.000
162.353928,0.062076,356523.000,-178343.000,-178000.000,0.000,0.000,0.000,-10.000,30.000,0.000
162.450455,0.096523,356523.000,-178343.000,-178000.000,0.000,0.000,0.000,-10.000,30.000,0.000
162.512680,0.062219,356523.000,-178343.000,-178000.000,0.000,0.000,0.000,-10.000,30.000,0.000
162.572937,0.060261,356523.000,-178343.000,-178000.000,0.000,0.000,0.000,-10.000,30.000,0.000
162.634903,0.061960,356523.000,-178343.000,-178000.000,0.000,0.000,0.000,-10.000,30.000,0.000
162.696671,0.061778,356523.000,-178343.000,-178000.000,0.000,0.000,0.000,-10.000,30.000,0.000
162.758163,0.061488,356523.000,-178343.000,-178000.000,0.000,0.000,0.000,-10.000,30.000,0.000
162.821213,0.063050,356523.000,-178343.000,-178000.000,0.000,0.000,0.000,-10.000,30.000,0.000
162.882904,0.061686,356523.000,-178343.000,-178000.000,0.000,0.000,0.000,-10.000,30.000,0.000
162.944794,0.061902,356523.000,-178343.000,-178000.000,0.000,0.000,0.000,-10.000,30.000,0.000
163.006729,0.061933,356523.000,-178343.000,-178000.000,0.000,0.000,0.000,-10.000,30.000,0.000
163.068314,0.061584,356523.000,-178343.000,-178000.000,0.000,0.000,0.000,-10.000,30.000,0.000
163.130569,0.062248,356523.000,-178343.000,-178000.000,0.000,0.000,0.000,-10.000,30.000,0.000
163.192932,0.062368,356523.000,-178343.000,-178000.000,0.000,0.000,0.000,-10.000,30.000,0.000
163.255005,0.062080,356523.000,-178343.000,-178000.000,0.000,0.000,0.000,-10.000,30.000,0.000
